1966Q1	25,422	17.12
1966Q2	23,894	24.70
1966Q3	24,620	21.07
1966Q4	25,678	28.31
1967Q1	29,477	16.80
1967Q2	27,011	24.73
1967Q3	27,852	23.15
1967Q4	29,254	29.97
1968Q1	33,671	15.89
1968Q2	31,410	24.75
1968Q3	33,162	23.23
1968Q4	34,741	28.30
1969Q1	37,825	21.10
1969Q2	36,542	24.89
1969Q3	37,442	24.41
1969Q4	39,349	28.14
1970Q1	42,713	20.29
1970Q2	41,373	28.09
1970Q3	41,847	27.42
1970Q4	44,475	29.41
1971Q1	47,884	24.45
1971Q2	46,192	31.26
1971Q3	45,890	31.12
1971Q4	49,804	31.24
1972Q1	54,456	28.11
1972Q2	53,024	34.29
1972Q3	54,402	32.10
1972Q4	55,436	36.33
1973Q1	65,352	29.26
1973Q2	65,637	33.07
1973Q3	66,484	36.74
1973Q4	74,554	39.31
1974Q1	94,072	31.92
1974Q2	91,027	36.16
1974Q3	97,065	29.58
1974Q4	98,581	30.61
1975Q1	110,901	20.76
1975Q2	103,746	29.32
1975Q3	108,197	28.17
1975Q4	110,989	31.26
1976Q1	123,347	26.38
1976Q2	114,249	35.16
1976Q3	120,806	33.31
1976Q4	121,604	36.95
1977Q1	140,104	27.82
1977Q2	131,227	36.83
1977Q3	143,737	31.70
1977Q4	145,286	36.42
1978Q1	165,851	27.64
1978Q2	155,102	36.87
1978Q3	163,892	36.82
1978Q4	170,593	37.55
1979Q1	195,945	29.33
1979Q2	184,811	37.52
1979Q3	208,272	32.67
1979Q4	209,529	35.62
1980Q1	250,795	28.44
1980Q2	235,909	36.16
1980Q3	264,729	31.16
1980Q4	269,135	34.49
1981Q1	311,914	25.87
1981Q2	292,557	34.57
1981Q3	313,144	31.44
1981Q4	303,380	34.87
1982Q1	343,111	25.83
1982Q2	320,812	33.53
1982Q3	340,046	30.42
1982Q4	329,996	33.48
1983Q1	366,122	26.80
1983Q2	349,722	35.57
1983Q3	364,019	34.76
1983Q4	358,960	37.01
1984Q1	395,769	30.53
1984Q2	381,301	38.34
1984Q3	403,604	35.80
1984Q4	397,095	36.03
1985Q1	431,231	29.21
1985Q2	405,162	37.02
1985Q3	422,048	35.14
1985Q4	420,720	36.69
1986Q1	467,345	33.18
1986Q2	432,594	42.03
1986Q3	450,073	41.91
1986Q4	454,714	43.40
1987Q1	515,496	35.86
1987Q2	483,174	42.71
1987Q3	510,332	40.89
1987Q4	522,275	39.95
1988Q1	577,267	32.54
1988Q2	552,095	37.61
1988Q3	591,605	35.98
1988Q4	607,317	36.87
1989Q1	671,476	30.16
1989Q2	655,356	33.25
1989Q3	709,415	31.19
1989Q4	721,049	33.05
1990Q1	792,257	27.72
1990Q2	751,874	32.90
1990Q3	799,841	29.42
1990Q4	807,516	34.07
1991Q1	882,388	28.53
1991Q2	853,602	32.42
1991Q3	896,949	30.75
1991Q4	901,405	34.31
1992Q1	988,203	28.60
1992Q2	961,546	31.61
1992Q3	994,680	30.58
1992Q4	1,004,970	33.80
1993Q1	1,092,721	28.65
1993Q2	1,058,812	31.74
1993Q3	1,089,280	30.38
1993Q4	1,100,577	32.90
1994Q1	1,204,255	27.06
1994Q2	1,163,873	30.74
1994Q3	1,211,386	28.82
1994Q4	1,212,215	32.63
1995Q1	1,299,092	27.06
1995Q2	1,277,730	29.36
1995Q3	1,314,647	28.64
1995Q4	1,330,694	32.31
1996Q1	1,417,321	27.01
1996Q2	1,412,834	28.32
1996Q3	1,443,602	28.48
1996Q4	1,473,270	30.47
1997Q1	1,551,576	26.12
1997Q2	1,519,720	27.66
1997Q3	1,578,023	27.15
1997Q4	1,590,461	32.37
1998Q1	1,692,324	26.24
1998Q2	1,650,900	27.69
1998Q3	1,649,514	29.31
1998Q4	1,729,245	29.91
1999Q1	1,770,701	26.89
1999Q2	1,727,532	27.94
1999Q3	1,733,122	27.90
1999Q4	1,756,652	31.87
2000Q1	1,854,532	26.16
2000Q2	1,781,477	29.05
2000Q3	1,836,827	29.37
2000Q4	1,857,331	32.51
2001Q1	1,885,540	26.19
2001Q2	1,803,128	26.80
2001Q3	1,854,442	25.84
2001Q4	1,910,177	29.39
2002Q1	1,928,216	26.72
2002Q2	1,868,277	28.75
2002Q3	1,931,914	28.43
2002Q4	1,975,329	30.68
2003Q1	1,962,940	28.62
2003Q2	1,831,101	30.46
2003Q3	2,027,013	27.10
